date,best_learning_rate_xgboost,best_max_depth_xgboost,best_n_estimators_xgboost,best_reg_lambda_xgboost,best_subsample_xgboost,best_colsample_xgboost,best_depth_random_forest,best_n_estimators_random_forest,best_min_leaf_random_forest
2012-06-01,0.050000,1,100,3,1.000000,0.700000,1,135,4
2012-07-02,0.050000,1,100,5,1.000000,0.700000,1,135,2
2012-08-01,0.050000,1,100,3,1.000000,1.000000,1,135,2
2012-09-04,0.050000,4,100,3,0.700000,0.700000,1,135,2
2012-10-01,0.050000,1,100,5,0.700000,0.700000,2,135,2
2012-11-01,0.050000,1,100,5,0.700000,0.700000,1,100,3
2012-12-03,0.050000,2,100,1,1.000000,0.700000,1,135,2
2013-01-02,0.050000,2,100,5,1.000000,0.700000,4,200,4
2013-02-01,0.050000,1,100,1,0.700000,0.700000,1,100,2
2013-03-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2013-04-01,0.050000,1,100,1,1.000000,0.700000,1,200,2
2013-05-01,0.050000,1,100,1,1.000000,0.700000,1,135,2
2013-06-03,0.050000,1,100,5,1.000000,1.000000,1,100,2
2013-07-01,0.050000,1,100,3,0.700000,0.700000,1,200,2
2013-08-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2013-09-03,0.050000,1,100,5,1.000000,0.700000,1,135,2
2013-10-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2013-11-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2013-12-02,0.050000,1,100,5,1.000000,1.000000,1,100,2
2014-01-02,0.050000,1,100,3,1.000000,0.700000,1,200,2
2014-02-03,0.050000,1,100,5,1.000000,0.700000,1,100,2
2014-03-03,0.050000,1,100,1,1.000000,1.000000,1,200,2
2014-04-01,0.050000,1,100,5,1.000000,0.700000,1,135,2
2014-05-01,0.050000,1,100,5,1.000000,0.700000,1,200,2
2014-06-02,0.050000,1,100,5,1.000000,0.700000,1,200,2
2014-07-01,0.050000,1,100,5,1.000000,1.000000,1,100,3
2014-08-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2014-09-02,0.050000,1,100,1,1.000000,1.000000,1,135,2
2014-10-01,0.050000,1,100,3,1.000000,1.000000,1,100,2
2014-11-03,0.050000,1,100,5,1.000000,0.700000,1,100,2
2014-12-01,0.050000,1,100,5,1.000000,0.700000,1,135,2
2015-01-02,0.050000,1,100,3,1.000000,1.000000,1,100,2
2015-02-02,0.050000,1,100,5,1.000000,1.000000,1,135,2
2015-03-02,0.050000,1,100,1,0.700000,0.700000,1,100,2
2015-04-01,0.050000,1,100,5,0.700000,0.700000,1,100,2
2015-05-01,0.050000,1,100,5,1.000000,1.000000,1,200,3
2015-06-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2015-07-01,0.050000,1,100,5,1.000000,1.000000,1,200,4
2015-08-03,0.050000,1,100,5,1.000000,1.000000,1,135,2
2015-09-01,0.050000,1,100,1,1.000000,1.000000,1,100,4
2015-10-01,0.050000,1,100,1,1.000000,0.700000,1,100,4
2015-11-02,0.050000,2,100,1,1.000000,1.000000,1,100,2
2015-12-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2016-01-04,0.050000,1,100,3,1.000000,1.000000,1,100,2
2016-02-01,0.050000,1,100,5,1.000000,1.000000,2,200,2
2016-03-01,0.050000,1,100,5,1.000000,1.000000,1,135,2
2016-04-01,0.050000,2,100,1,0.700000,0.700000,3,100,2
2016-05-02,0.050000,1,100,5,0.700000,0.700000,1,135,2
2016-06-01,0.050000,1,100,3,1.000000,1.000000,1,135,2
2016-07-01,0.050000,1,100,1,1.000000,1.000000,1,135,2
2016-08-01,0.050000,1,100,5,1.000000,1.000000,1,135,2
2016-09-01,0.050000,1,100,5,0.700000,0.700000,1,100,2
2016-10-03,0.050000,1,100,5,1.000000,0.700000,1,100,2
2016-11-01,0.050000,1,100,5,0.700000,1.000000,1,135,2
2016-12-01,0.050000,1,100,5,0.700000,0.700000,2,100,4
2017-01-03,0.050000,1,100,5,1.000000,0.700000,1,100,2
2017-02-01,0.050000,1,100,3,0.700000,0.700000,2,200,3
2017-03-01,0.050000,1,100,5,0.700000,0.700000,1,100,4
2017-04-03,0.050000,1,100,3,0.700000,0.700000,1,135,2
2017-05-01,0.050000,1,100,5,1.000000,0.700000,2,135,3
2017-06-01,0.050000,1,100,5,1.000000,1.000000,4,100,2
2017-07-03,0.050000,1,100,5,0.700000,0.700000,3,100,2
2017-08-01,0.050000,2,100,1,1.000000,0.700000,5,100,3
2017-09-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2017-10-02,0.050000,1,100,5,1.000000,1.000000,1,135,4
2017-11-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2017-12-01,0.050000,1,100,5,1.000000,0.700000,1,200,2
2018-01-02,0.050000,2,100,5,1.000000,0.700000,1,100,2
2018-02-01,0.050000,1,100,5,1.000000,1.000000,1,200,2
2018-03-01,0.050000,1,100,5,1.000000,1.000000,1,135,2
2018-04-02,0.050000,1,100,3,1.000000,1.000000,5,100,2
2018-05-01,0.050000,1,100,3,1.000000,1.000000,1,200,5
2018-06-01,0.050000,1,100,5,1.000000,0.700000,1,200,2
2018-07-02,0.050000,1,100,5,1.000000,0.700000,2,200,4
2018-08-01,0.050000,1,100,3,0.700000,0.700000,2,135,2
2018-09-04,0.050000,1,100,3,1.000000,1.000000,2,135,2
2018-10-01,0.050000,1,100,5,1.000000,0.700000,1,200,5
2018-11-01,0.050000,1,100,5,1.000000,1.000000,1,135,2
2018-12-03,0.050000,1,100,5,1.000000,1.000000,1,135,2
2019-01-02,0.050000,1,100,5,1.000000,1.000000,1,135,2
2019-02-01,0.050000,1,100,5,1.000000,0.700000,1,100,2
2019-03-01,0.050000,1,100,5,1.000000,0.700000,1,100,3
2019-04-01,0.050000,1,100,5,1.000000,0.700000,1,100,2
2019-05-01,0.050000,1,100,5,1.000000,0.700000,1,135,2
2019-06-03,0.050000,1,100,5,1.000000,0.700000,1,200,2
2019-07-01,0.050000,1,100,5,1.000000,0.700000,1,200,5
2019-08-01,0.050000,2,100,5,1.000000,1.000000,2,200,2
2019-09-03,0.050000,1,100,5,1.000000,1.000000,1,135,2
2019-10-01,0.050000,1,100,5,1.000000,0.700000,1,200,2
2019-11-01,0.050000,1,100,5,1.000000,0.700000,1,200,2
2019-12-02,0.050000,1,100,5,1.000000,0.700000,1,100,2
2020-01-02,0.050000,1,100,5,1.000000,0.700000,1,100,2
2020-02-03,0.050000,1,100,5,1.000000,0.700000,1,200,5
2020-03-02,0.050000,1,100,5,1.000000,0.700000,1,200,4
2020-04-01,0.050000,1,100,5,0.700000,0.700000,1,100,2
2020-05-01,0.050000,1,100,5,0.700000,0.700000,1,100,2
2020-06-01,0.050000,1,100,5,1.000000,0.700000,1,100,3
2020-07-01,0.050000,1,100,5,1.000000,1.000000,1,135,5
2020-08-03,0.050000,1,100,5,1.000000,1.000000,1,100,3
2020-09-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2020-10-01,0.050000,1,100,5,1.000000,1.000000,2,200,2
2020-11-02,0.050000,1,100,5,1.000000,0.700000,1,200,2
2020-12-01,0.050000,1,100,5,1.000000,0.700000,1,135,4
2021-01-04,0.050000,1,100,3,0.700000,0.700000,3,100,3
2021-02-01,0.050000,1,100,5,0.700000,0.700000,5,100,4
2021-03-01,0.050000,2,100,1,1.000000,1.000000,5,135,4
2021-04-01,0.050000,1,100,5,1.000000,1.000000,5,200,3
2021-05-03,0.050000,1,100,5,1.000000,1.000000,2,100,2
2021-06-01,0.100000,2,100,1,1.000000,0.700000,5,135,3
2021-07-01,0.050000,2,100,1,1.000000,1.000000,5,100,3
2021-08-02,0.050000,1,100,5,1.000000,1.000000,3,100,2
2021-09-01,0.050000,1,100,5,0.700000,0.700000,3,100,5
2021-10-01,0.050000,2,200,5,1.000000,1.000000,5,200,4
2021-11-01,0.050000,1,100,5,0.700000,0.700000,2,100,4
2021-12-01,0.050000,1,100,5,0.700000,0.700000,2,100,4
