rebalance_date,invest_year,select_year,ticker,assigned_weight,hrp_success,turnover,tc_drag_bps
2002-07-01,2002,2001,BAC,0.03278652599667146,True,0.0,0.0
2002-07-01,2002,2001,CVX,0.07692533231766786,True,0.0,0.0
2003-01-02,2003,2002,MSFT,0.027786379677683246,True,0.461242,0.0
2003-01-02,2003,2002,XOM,0.09999999999999999,True,0.0,0.0
2003-01-02,2003,2002,WMT,0.035942714828604914,True,0.0,0.0
2003-01-02,2003,2002,C,0.03160690545719254,True,0.0,0.0
2003-01-02,2003,2002,PFE,0.05495484830848785,True,0.0,0.0
2003-01-02,2003,2002,JNJ,0.09077844146891292,True,0.0,0.0
2003-01-02,2003,2002,GE,0.04681496619567258,True,0.0,0.0
2003-01-02,2003,2002,IBM,0.042132762538534034,True,0.0,0.0
2003-01-02,2003,2002,AIG,0.050024437325019794,True,0.0,0.0
2003-01-02,2003,2002,MRK,0.051000071350597705,True,0.0,0.0
2003-01-02,2003,2002,PG,0.048676873742362306,True,0.0,0.0
2003-01-02,2003,2002,KO,0.055300222009588326,True,0.0,0.0
2003-01-02,2003,2002,VZ,0.06404522765643611,True,0.0,0.0
2003-01-02,2003,2002,BAC,0.023824058146659777,True,0.0,0.0
2003-01-02,2003,2002,INTC,0.021729585844604417,True,0.0,0.0
2003-01-02,2003,2002,CSCO,0.017908551194149573,True,0.0,0.0
2003-01-02,2003,2002,WFC,0.03288929917383517,True,0.0,0.0
2003-01-02,2003,2002,PEP,0.06793225539483665,True,0.0,0.0
2003-01-02,2003,2002,LLY,0.03665239968682216,True,0.0,0.0
2003-01-02,2003,2002,CVX,0.10000000000000002,True,0.0,0.0
2003-07-01,2003,2002,MSFT,0.02745872768492672,True,0.052876,0.0
2003-07-01,2003,2002,XOM,0.09924017372024858,True,0.0,0.0
2003-07-01,2003,2002,WMT,0.03568470839203394,True,0.0,0.0
2003-07-01,2003,2002,C,0.032863727909336164,True,0.0,0.0
2003-07-01,2003,2002,PFE,0.05767199919128683,True,0.0,0.0
2003-07-01,2003,2002,JNJ,0.09104868551372544,True,0.0,0.0
2003-07-01,2003,2002,GE,0.04568191110394678,True,0.0,0.0
2003-07-01,2003,2002,IBM,0.0420442379729552,True,0.0,0.0
2003-07-01,2003,2002,AIG,0.047014013126460794,True,0.0,0.0
2003-07-01,2003,2002,MRK,0.04927560091105313,True,0.0,0.0
2003-07-01,2003,2002,PG,0.05102338233553465,True,0.0,0.0
2003-07-01,2003,2002,KO,0.055455604569944056,True,0.0,0.0
2003-07-01,2003,2002,VZ,0.06083040732487543,True,0.0,0.0
2003-07-01,2003,2002,BAC,0.024263473371014446,True,0.0,0.0
2003-07-01,2003,2002,INTC,0.02156035760955462,True,0.0,0.0
2003-07-01,2003,2002,CSCO,0.017723009262466418,True,0.0,0.0
2003-07-01,2003,2002,WFC,0.03377841997000901,True,0.0,0.0
2003-07-01,2003,2002,PEP,0.07122734173808035,True,0.0,0.0
2003-07-01,2003,2002,LLY,0.03615421829254749,True,0.0,0.0
2003-07-01,2003,2002,CVX,0.1,True,0.0,0.0
2004-01-02,2004,2003,MSFT,0.05,False,0.535076,0.0
2004-01-02,2004,2003,XOM,0.05,False,0.0,0.0
2004-01-02,2004,2003,PFE,0.05,False,0.0,0.0
2004-01-02,2004,2003,C,0.05,False,0.0,0.0
2004-01-02,2004,2003,WMT,0.05,False,0.0,0.0
2004-01-02,2004,2003,INTC,0.05,False,0.0,0.0
2004-01-02,2004,2003,GE,0.05,False,0.0,0.0
2004-01-02,2004,2003,CSCO,0.05,False,0.0,0.0
2004-01-02,2004,2003,JNJ,0.05,False,0.0,0.0
2004-01-02,2004,2003,IBM,0.05,False,0.0,0.0
2004-01-02,2004,2003,AIG,0.05,False,0.0,0.0
2004-01-02,2004,2003,PG,0.05,False,0.0,0.0
2004-01-02,2004,2003,KO,0.05,False,0.0,0.0
2004-01-02,2004,2003,BAC,0.05,False,0.0,0.0
2004-01-02,2004,2003,WFC,0.05,False,0.0,0.0
2004-01-02,2004,2003,MRK,0.05,False,0.0,0.0
2004-01-02,2004,2003,VZ,0.05,False,0.0,0.0
2004-01-02,2004,2003,CVX,0.05,False,0.0,0.0
2004-01-02,2004,2003,UPS,0.05,False,0.0,0.0
2004-01-02,2004,2003,HD,0.05,False,0.0,0.0
2004-07-01,2004,2003,MSFT,0.05,False,0.048564,0.0
2004-07-01,2004,2003,XOM,0.05,False,0.0,0.0
2004-07-01,2004,2003,PFE,0.05,False,0.0,0.0
2004-07-01,2004,2003,C,0.05,False,0.0,0.0
2004-07-01,2004,2003,WMT,0.05,False,0.0,0.0
2004-07-01,2004,2003,INTC,0.05,False,0.0,0.0
2004-07-01,2004,2003,GE,0.05,False,0.0,0.0
2004-07-01,2004,2003,CSCO,0.05,False,0.0,0.0
2004-07-01,2004,2003,JNJ,0.05,False,0.0,0.0
2004-07-01,2004,2003,IBM,0.05,False,0.0,0.0
2004-07-01,2004,2003,AIG,0.05,False,0.0,0.0
2004-07-01,2004,2003,PG,0.05,False,0.0,0.0
2004-07-01,2004,2003,KO,0.05,False,0.0,0.0
2004-07-01,2004,2003,BAC,0.05,False,0.0,0.0
2004-07-01,2004,2003,WFC,0.05,False,0.0,0.0
2004-07-01,2004,2003,MRK,0.05,False,0.0,0.0
2004-07-01,2004,2003,VZ,0.05,False,0.0,0.0
2004-07-01,2004,2003,CVX,0.05,False,0.0,0.0
