rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_depth,best_n_est,best_min_leaf,best_min_samples_split,val_R2_selected
2022-12-01,2022,2021,TSLA,0.10000980505656266,0.541176,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,AMZN,0.07654114116563789,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,AAPL,0.0738638150524384,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,DIS,0.0714597540081837,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,META,0.07009258726776055,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,GOOGL,0.06528789446140788,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,UNH,0.0648152866500851,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,MSFT,0.057519640974742874,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,V,0.05017419077349732,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,BAC,0.04810524584286845,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,MA,0.047685396442863126,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,JNJ,0.04755118718216105,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,HD,0.04403962216118375,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,PG,0.0373662991249681,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,WMT,0.028886588964276847,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,BRK-B,0.027910273076902848,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,AVGO,0.027823267747351856,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,NVDA,0.026159159614160595,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,PFE,0.02470786392729068,0.0,0.0,1,100,1,10,-0.003749
2022-12-01,2022,2021,JPM,0.010000980505656266,0.0,0.0,1,100,1,10,-0.003749
2023-01-03,2023,2022,TSLA,0.07417250334888187,0.506023,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,AAPL,0.06838268514568269,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,GOOGL,0.06668092930339059,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,MSFT,0.0660047606870935,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,AMZN,0.06420419391801319,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,JNJ,0.06360480470399393,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,META,0.062000331557456,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,NVDA,0.0616132781889161,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,LLY,0.06118954140436777,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,UNH,0.06073787911896068,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,PFE,0.06059896976243488,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,BRK-B,0.05877544991616409,0.0,0.0,1,180,10,2,0.12123
2023-01-03,2023,2022,HD,0.05811470083915881,0.0,0.0,1,180,10,2,0.12123
