rebalance_date,invest_year,select_year,n_stocks,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected,turnover,tc_drag_bps
2010-07-01,2010,2009,20,0.3147070259026779,0.0990405121525087,0.2601575434207915,-0.1914648078497294,-8.800145871590932,-0.0796992481203007,0.65,0.0,0.05,3,100,1,1.0,1.0,-0.0032493807598534,0.4110898231123356,0.0
2010-10-01,2010,2009,20,0.2986851247046783,0.0892128037198492,0.2571980088949203,-0.0732367364793893,-17.048027467852823,-0.020092531711391,0.9,0.0,0.05,1,100,5,1.0,1.0,-0.023649060741016,0.5055374767736471,0.0
2011-01-03,2011,2010,20,0.2975735381422988,0.0885500106025261,0.2568337857723236,-0.0652632854439239,-36.61602680213253,-0.5326648011775641,0.6,0.0,0.05,1,100,5,1.0,1.0,-0.0229788133706028,0.681322675534636,0.0
2011-04-01,2011,2010,20,0.2864117040527428,0.0820316642183959,0.2495460778474807,0.0131529116583949,-43.38992644138703,0.1639611764839393,0.45,0.0,0.05,1,100,3,1.0,0.7,-0.0327727702976476,0.8953671050997655,0.0
2011-07-01,2011,2010,20,0.2917574858246163,0.0851224305347012,0.2552414178848267,-0.0240292395152026,-13.633549822309403,-0.3049997255948491,0.15,0.2357022603955158,0.05,1,100,5,1.0,1.0,0.002110083958707,0.7699155096406712,0.0
2011-10-03,2011,2010,20,0.2795315305199614,0.0781378765548321,0.241805065870285,0.0599954700170575,-5.823262386708984,0.4492861305243456,0.95,0.0,0.05,1,100,1,1.0,0.7,0.0136584057323282,0.6737547881962667,0.0
2012-01-03,2012,2011,19,0.2731006734219037,0.0745839778234973,0.2346556358390238,0.1025061335239155,-7.423300628498337,0.5947368421052631,0.8421052631578947,0.0,0.05,1,100,5,0.7,0.7,-0.03129347207465,0.7822553751463139,0.0
2012-04-02,2012,2011,20,0.2931885129963887,0.0859595041530336,0.2522717770934104,-0.0340992980816072,-35.82136939805892,-0.1353383458646616,0.45,0.3760507165451774,0.05,1,100,5,0.7,0.7,-0.0193380633190562,0.885617432040133,0.0
2012-07-02,2012,2011,20,0.2713756609301724,0.0736447493452878,0.235082886815071,0.1140481281769877,-19.52174344231953,0.5167617449970088,0.85,0.0,0.05,1,100,5,1.0,1.0,-0.0007696724428241,0.6694486110450278,0.0
2012-10-01,2012,2011,20,0.2958103648280691,0.0875037719397153,0.2493373736739158,-0.0526769556657484,-58.76993862984105,0.022590387064523,0.4,0.4618802153517006,0.05,1,100,3,1.0,1.0,0.0148974959316945,0.7364264099502388,0.0
2013-01-02,2013,2012,20,0.2909955804463005,0.0846784278392793,0.2518909394741058,-0.0186878537056167,-22.20755726675108,-0.144360902255639,0.85,0.6666666666666666,0.05,1,200,1,0.7,1.0,0.031140034347703,0.6594092020349953,0.0
2013-04-01,2013,2012,20,0.2921015807231767,0.0853233334609785,0.2524061647057533,-0.0264461168238014,-43.45337551325698,-0.2015037593984962,0.45,0.0,0.05,1,100,1,0.7,0.7,-0.0040492043291728,0.4836341299078789,0.0
2013-07-01,2013,2012,20,0.2855902957320082,0.0815618170162959,0.2485061091184615,0.0188052088265152,-90.99249389687668,0.2362280970376505,0.35,0.0,0.05,1,100,1,1.0,0.7,0.0002472283370714,0.4649832296717473,0.0
2013-10-01,2013,2012,20,0.2937247509513656,0.0862742293214417,0.2556894969940185,-0.037885465521104,-13.81135785087193,-0.1037984277992933,1.0,,0.05,1,100,3,1.0,0.7,-0.0081466148820044,0.5791575161897664,0.0
2014-01-02,2014,2013,20,0.2939268269457198,0.0863929795983791,0.2557360452413558,-0.0393140402812526,-60.34304136986834,-0.1820524689091038,0.5,0.0,0.05,1,100,5,1.0,1.0,-0.0281342150846168,0.7859460012348131,0.0
2014-04-01,2014,2013,20,0.2824918300627999,0.0798016340522298,0.2438963830471038,0.0399803422288145,-54.030428971684586,0.3769330874174425,0.55,0.0,0.05,2,100,5,1.0,1.0,-0.0385819385485344,0.5136825432070824,0.0
2014-07-01,2014,2013,20,0.2864018760327383,0.082026034595072,0.2480327111482619,0.0132206364502609,-79.94538170714993,0.0750878157347992,0.6,0.0,0.05,1,100,5,1.0,1.0,-0.0624326320814032,0.6114164934701929,0.0
2014-10-01,2014,2013,20,0.2865743399999422,0.0821248523464024,0.2454458367824554,0.0120318514718502,-36.77346625628896,0.1299964946187193,0.75,0.408248290463863,0.05,1,100,5,1.0,1.0,-0.0649474299786245,0.2677498511886876,0.0
2015-01-02,2015,2014,19,0.2815379757805888,0.0792636318066314,0.2424927933394413,0.0461942972602015,-45.751254810762,0.4340609524881789,0.3157894736842105,0.0,0.05,1,100,1,1.0,1.0,-0.0448463319837728,0.6339577168373324,0.0
2015-04-01,2015,2014,19,0.2943549535876623,0.0866448387015948,0.2509103557739893,-0.0426262257091916,-68.55482097256488,-0.2441811517662079,0.3684210526315789,0.0,0.05,1,100,3,1.0,1.0,-0.0437670446975573,0.7349709238514084,0.0
2015-07-01,2015,2014,19,0.2916058675120133,0.0850339819674338,0.2536059225034845,-0.023242249674787,-39.81869289725855,-0.0835535010441997,0.2105263157894736,0.0,0.05,1,100,5,1.0,0.7,-0.0457045193770428,0.6656556010073027,0.0
2015-10-01,2015,2014,19,0.2918394119677845,0.0851702423777022,0.2518919909429682,-0.0248819166116838,-17.014886273010735,-0.1412207006059744,0.8421052631578947,0.0,0.05,1,100,5,1.0,1.0,-0.0156604272532867,0.5661512065861336,0.0
2016-01-04,2016,2015,19,0.2880544468695864,0.0829753643613433,0.2497782502478178,0.0015297821851679,-31.95964197663321,0.0491659539797642,0.5789473684210527,0.4803844614152613,0.2,1,200,1,1.0,1.0,0.0396729738628888,0.8057685448935189,0.0
2016-04-01,2016,2015,19,0.2939033950784687,0.0863792056386505,0.2535402816913795,-0.0394297745184275,-30.21552613291351,-0.1547256484140448,0.5263157894736842,0.4216370213557839,0.05,1,100,5,1.0,1.0,0.0243428260715196,0.6085695370381206,0.0
2016-07-01,2016,2015,20,0.2807087590176979,0.0787974073892559,0.2419745504856109,0.0520612644901538,-25.497112939537796,0.3641173624452495,0.5,0.0,0.05,1,100,1,1.0,0.7,-0.000171155091573,0.5262972861623536,0.0
2016-10-03,2016,2015,20,0.2883409101161489,0.083140480446609,0.2472257137298584,-0.0001862309366507,-9.493335186272894,0.0765465691178935,0.55,0.0,0.05,1,100,1,1.0,0.7,0.0206391811107881,0.609537076138913,0.0
2017-01-03,2017,2016,20,0.284351573322566,0.0808558172510186,0.2457460188865661,0.0272984390854905,-23.33398156851928,0.3233082706766917,0.75,0.0,0.05,1,100,5,0.7,0.7,0.0271045690201746,0.4873999091262833,0.0
2017-04-03,2017,2016,20,0.2820233962373228,0.0795371960252339,0.2448371183872223,0.0431615515761323,-93.2234452199713,0.2902255639097744,0.65,0.0,0.05,1,100,5,0.7,0.7,0.0164377564960734,0.410743459292345,0.0
2017-07-03,2017,2016,20,0.3047703177046104,0.0928849465537691,0.2612985581159592,-0.117412890872411,-37.60792781200614,-0.1984962406015037,0.8,0.6454972243679028,0.05,2,100,5,0.7,0.7,0.0451712714224019,0.6427088208102987,0.0
2017-10-02,2017,2016,20,0.2768067633419129,0.0766219842318257,0.2341116473078727,0.0782317686396898,-12.964577172188102,0.2799097857851294,0.75,,0.05,1,100,1,1.0,1.0,0.0239657834971402,0.4847116498954285,0.0
