rebalance_date,invest_year,select_year,n_stocks,best_nodes,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2005-06-01,2005,2004,20,16.000000,32.000000,0.010000,0.044796,0.301115,0.090670,0.261231,-0.090772,-199.035352,-0.150376,0.550000,0.489898,0.536886,0.000000
2005-07-01,2005,2004,20,16.000000,32.000000,0.010000,0.045757,0.306148,0.093727,0.263075,-0.127540,-126.013571,-0.258647,0.400000,0.000000,0.600858,0.000000
2005-08-01,2005,2004,20,16.000000,64.000000,0.010000,0.044520,0.301036,0.090623,0.259208,-0.090200,-124.057126,-0.227110,0.700000,0.000000,0.384324,0.000000
2005-09-01,2005,2004,20,16.000000,32.000000,0.010000,0.045340,0.278220,0.077406,0.239918,0.068794,-256.857143,0.317293,0.550000,0.547723,0.533228,0.000000
2005-10-03,2005,2004,20,16.000000,64.000000,0.010000,0.044338,0.312432,0.097614,0.272256,-0.174304,-46.026717,-0.015038,0.400000,0.000000,0.494414,0.000000
2005-11-01,2005,2004,20,16.000000,64.000000,0.010000,0.043144,0.291483,0.084962,0.254083,-0.022103,-54.599546,-0.208303,0.700000,0.000000,0.452716,0.000000
2005-12-01,2005,2004,20,16.000000,64.000000,0.010000,0.043250,0.285031,0.081243,0.250742,0.022643,-118.199827,0.181955,0.650000,0.400000,0.648319,0.000000
2006-01-03,2006,2005,20,16.000000,32.000000,0.010000,0.044211,0.280796,0.078847,0.246029,0.051469,-64.970105,0.230075,0.650000,0.574169,0.551527,0.000000
2006-02-01,2006,2005,20,32.000000,32.000000,0.010000,0.045142,0.264278,0.069843,0.216229,0.159787,-235.708931,0.425564,0.650000,0.645497,0.472318,0.000000
2006-03-01,2006,2005,20,16.000000,32.000000,0.010000,0.042619,0.273782,0.074956,0.242014,0.098268,-262.692991,0.342857,0.550000,0.547723,0.588219,0.000000
2006-04-03,2006,2005,20,16.000000,32.000000,0.010000,0.045949,0.306358,0.093855,0.264420,-0.129082,-98.558909,0.030075,0.600000,0.594588,0.803969,0.000000
2006-05-01,2006,2005,20,16.000000,32.000000,0.010000,0.044738,0.306079,0.093684,0.265465,-0.127030,-140.446541,-0.124812,0.450000,0.489898,0.634896,0.000000
2006-06-01,2006,2005,20,16.000000,32.000000,0.010000,0.043093,0.307914,0.094811,0.255301,-0.140585,-246.246656,0.040602,0.650000,0.632456,0.494273,0.000000
2006-07-03,2006,2005,20,16.000000,64.000000,0.010000,0.045114,0.301292,0.090777,0.265070,-0.092052,-74.320509,-0.344490,0.350000,0.363137,0.575892,0.000000
2006-08-01,2006,2005,20,16.000000,64.000000,0.010000,0.045550,0.281081,0.079006,0.243276,0.049547,-38.141245,0.380451,0.750000,0.467707,0.694794,0.000000
2006-09-01,2006,2005,20,16.000000,64.000000,0.010000,0.045892,0.301199,0.090721,0.256632,-0.091377,-153.221916,-0.344361,0.100000,0.000000,0.557543,0.000000
2006-10-02,2006,2005,20,16.000000,32.000000,0.010000,0.044880,0.288194,0.083056,0.251930,0.000833,-101.829551,0.123308,0.600000,0.464420,0.599073,0.000000
2006-11-01,2006,2005,20,16.000000,32.000000,0.010000,0.045015,0.302984,0.091799,0.258567,-0.104354,-108.622666,-0.269173,0.400000,0.395285,0.540997,0.000000
2006-12-01,2006,2005,20,16.000000,32.000000,0.010000,0.041700,0.278739,0.077695,0.251075,0.065319,-134.619745,0.255639,0.700000,0.565685,0.313839,0.000000
2007-01-03,2007,2006,19,16.000000,64.000000,0.010000,0.045185,0.291096,0.084737,0.262661,-0.019666,-197.400096,0.131844,0.473684,0.476731,0.856998,0.000000
2007-02-01,2007,2006,19,16.000000,32.000000,0.010000,0.045503,0.288282,0.083107,0.249413,-0.000048,-156.617872,,0.052632,0.000000,0.530059,0.000000
2007-03-01,2007,2006,20,16.000000,32.000000,0.010000,0.044666,0.335937,0.112854,0.265358,-0.357641,-223.384674,-0.248120,0.550000,0.492366,0.366290,0.000000
2007-04-02,2007,2006,20,16.000000,32.000000,0.010000,0.043614,0.251695,0.063351,0.211842,0.237888,-59.760932,0.604511,0.400000,0.606977,0.399454,0.000000
2007-05-01,2007,2006,20,32.000000,32.000000,0.010000,0.044769,0.369467,0.136506,0.305077,-0.642174,-132.910391,-0.475188,0.400000,0.370479,0.409378,0.000000
2007-06-01,2007,2006,20,16.000000,32.000000,0.010000,0.044906,0.333861,0.111463,0.278495,-0.340914,-155.756488,-0.389474,0.350000,0.267261,0.426087,0.000000
2007-07-02,2007,2006,20,16.000000,64.000000,0.010000,0.046132,0.317108,0.100557,0.277184,-0.209712,-80.632173,-0.252632,0.600000,0.000000,0.369245,0.000000
2007-08-01,2007,2006,20,16.000000,64.000000,0.010000,0.044726,0.306229,0.093776,0.256679,-0.128133,-95.979499,-0.082707,0.250000,0.000000,0.388784,0.000000
2007-09-04,2007,2006,20,16.000000,32.000000,0.010000,0.043633,0.311369,0.096950,0.277261,-0.166321,-119.580285,-0.073684,0.500000,0.436436,0.323026,0.000000
2007-10-01,2007,2006,20,16.000000,64.000000,0.010000,0.044445,0.306125,0.093713,0.260980,-0.127371,-34.608939,-0.275188,0.500000,0.460566,0.339702,0.000000
2007-11-01,2007,2006,20,16.000000,32.000000,0.010000,0.042925,0.298404,0.089045,0.242613,-0.071217,-73.315006,0.273684,0.600000,0.594588,0.438770,0.000000
2007-12-03,2007,2006,20,16.000000,32.000000,0.010000,0.043235,0.296482,0.087902,0.251340,-0.057463,-124.679906,0.024060,0.550000,0.529150,0.655996,0.000000
2008-01-02,2008,2007,20,16.000000,32.000000,0.010000,0.044789,0.245984,0.060508,0.192736,0.272082,-29.707243,0.532331,0.500000,0.529150,0.641183,0.000000
2008-02-01,2008,2007,20,16.000000,32.000000,0.010000,0.043309,0.330444,0.109193,0.289925,-0.313601,-39.242616,-0.305263,0.450000,0.353553,0.584819,0.000000
2008-03-03,2008,2007,20,16.000000,32.000000,0.010000,0.043705,0.303705,0.092237,0.256265,-0.109617,-52.567569,-0.077736,0.450000,0.433013,0.516301,0.000000
2008-04-01,2008,2007,20,16.000000,32.000000,0.010000,0.043170,0.323263,0.104499,0.271831,-0.257129,-35.791366,-0.031579,0.450000,0.433013,0.316712,0.000000
2008-05-01,2008,2007,20,16.000000,32.000000,0.010000,0.044319,0.329465,0.108547,0.287910,-0.305828,-41.827431,-0.443609,0.500000,0.346410,0.587074,0.000000
2008-06-02,2008,2007,20,16.000000,64.000000,0.010000,0.043675,0.298373,0.089026,0.256794,-0.070992,-19.796653,-0.249624,0.850000,0.000000,0.444701,0.000000
2008-07-01,2008,2007,20,16.000000,32.000000,0.010000,0.043641,0.249065,0.062033,0.216938,0.253734,-19.754676,0.505263,0.650000,0.651339,0.470296,0.000000
2008-08-01,2008,2007,20,16.000000,32.000000,0.010000,0.043541,0.296779,0.088078,0.256459,-0.059585,-65.708898,-0.268824,0.600000,0.347677,0.590604,0.000000
2008-09-02,2008,2007,20,16.000000,32.000000,0.010000,0.043663,0.294524,0.086744,0.248157,-0.043540,-6.451828,-0.129323,0.550000,0.345033,0.613243,0.000000
2008-10-01,2008,2007,20,16.000000,32.000000,0.010000,0.042086,0.314155,0.098693,0.275220,-0.187287,-10.834749,-0.115789,0.300000,,0.723499,0.000000
2008-11-03,2008,2007,20,16.000000,32.000000,0.010000,0.045631,0.296105,0.087678,0.258909,-0.054777,-15.911183,-0.072180,0.300000,0.326599,0.628308,0.000000
2008-12-01,2008,2007,20,16.000000,32.000000,0.010000,0.044559,0.310740,0.096559,0.263578,-0.161618,-20.103806,-0.110568,0.600000,0.000000,0.415802,0.000000
2009-01-02,2009,2008,19,16.000000,64.000000,0.010000,0.043699,0.298457,0.089076,0.257994,-0.071886,-14.542291,-0.075439,0.473684,0.000000,0.831050,0.000000
2009-02-02,2009,2008,19,16.000000,32.000000,0.010000,0.046721,0.306944,0.094215,0.260136,-0.133716,-19.628881,-0.075439,0.684211,0.594089,0.413788,0.000000
