rebalance_date,invest_year,select_year,run_number,seed,n_stocks,best_nodes,best_dropout,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2006-10-02,2006,2005,1,42,20,16,0.3,0.01,0.045821662992239,0.3362582142874079,0.11306958667575631,0.28780174583196644,-0.36023562918203056,-29.597678878287603,0.009022556390977442,0.55,0.46291004988627577,0.4483672726686464,0.0
2007-01-03,2007,2006,1,42,19,16,0.3,0.01,0.04706868901848793,0.3552343703995434,0.12619145791316,0.3211913434092028,-0.5185038768883585,-121.36709226188817,-0.2771929824561403,0.42105263157894735,0.4629100498862757,0.5982987677871262,0.0
2007-04-02,2007,2006,1,42,19,16,0.3,0.01,0.047808509320020676,0.3307353928815413,0.10938590010450747,0.2979002515695101,-0.3162769979242397,-35.71978668856736,-0.04736842105263158,0.8421052631578947,0.9074852129730301,0.444741706295856,0.0
2007-07-02,2007,2006,1,42,19,16,0.3,0.01,0.0464845709502697,0.3304863846151154,0.10922125041597,0.2724305207214197,-0.3142957133388389,-30.681919105091815,-0.26666666666666666,0.5789473684210527,0.48038446141526137,0.39276636874701004,0.0
2007-10-01,2007,2006,1,42,19,16,0.1,0.01,0.045660365372896194,0.28469174434324906,0.08104938929720187,0.245417166284577,0.024705682123670747,-20.700305381087443,0.05858749251483802,0.42105263157894735,0.3779644730092272,0.4782818888524186,0.0
2008-01-02,2008,2007,1,42,19,16,0.1,0.01,0.044622186571359634,0.35432421568609157,0.12554564982156394,0.2790227629801574,-0.5107326528528191,-20.649784810512475,-0.23374377047258776,0.42105263157894735,0.4140393356054125,0.7219074028042493,0.0
2008-04-01,2008,2007,1,42,19,16,0.1,0.01,0.044740576297044754,0.3017351011449807,0.09104407126297175,0.2617176837207868,-0.09556365753109342,-10.277964288693404,0.09649122807017543,0.6842105263157895,0.7559289460184544,0.4215509806311364,0.0
2008-07-01,2008,2007,1,42,19,16,0.3,0.01,0.04662414640188217,0.30247686602415164,0.09149225447979259,0.24139949357410545,-0.10095679557350423,-4.5198667993011155,0.042105263157894736,0.47368421052631576,0.4767312946227962,0.34905926014894234,0.0
2008-10-01,2008,2007,1,42,20,16,0.1,0.01,0.04749491065740585,0.26601536412128635,0.07076417394858056,0.2363701248168945,0.1487016667839932,-4.257293920143488,0.4984945412238077,0.75,0.7140055472954167,0.67897068577601,0.0
2009-01-02,2009,2008,1,42,19,16,0.3,0.01,0.04658662527799606,0.3404110849668377,0.11587970676829958,0.2748226789226162,-0.39441913811187157,-12.794176074939902,-0.3368421052631579,0.3684210526315789,0.42008402520840293,0.8095333117768403,0.0
2009-04-01,2009,2008,1,42,19,16,0.3,0.01,0.04409077391028404,0.3007629395301668,0.09045834579482677,0.24991794207089496,-0.08851542773108223,-5.071160956024176,0.12982456140350876,0.7368421052631579,0.7416198487095662,0.48493625246885436,0.0
2009-07-01,2009,2008,1,42,19,16,0.1,0.01,0.04443086311221123,0.40157630621359536,0.16126352971215532,0.3354147618166958,-0.9405378075362691,-7.490910301122192,-0.5157894736842105,0.3684210526315789,0.3535533905932738,0.656081155799182,0.0
2009-10-01,2009,2008,1,42,19,16,0.1,0.01,0.04478113725781441,0.33311806904144925,0.11096764792190375,0.26669073336012145,-0.33531069666024194,-13.836927808240349,-0.06315789473684211,0.5263157894736842,0.7071067811865476,0.5199952239804922,0.0
2010-01-04,2010,2009,1,42,20,16,0.1,0.01,0.0450783409178257,0.24537026303962584,0.060206565984135166,0.20422136634588242,0.2757104844013817,-72.18835978435399,0.5458646616541353,0.7,0.6356417261637282,0.9701546499471523,0.0
2010-04-01,2010,2009,1,42,20,16,0.3,0.01,0.04392826184630394,0.3099476703357128,0.09606755834653571,0.2787413966655731,-0.15569995003351234,-25.00442592914811,0.015037593984962403,0.3,0.512989176042577,0.5854852806842331,0.0
2010-07-01,2010,2009,1,42,20,16,0.3,0.01,0.046296022832393646,0.3795990395371786,0.1440954308175485,0.3215572994947434,-0.7334788669780268,-10.791407010860947,-0.6105263157894737,0.7,0.0,0.5193772568244079,0.0
2010-10-01,2010,2009,1,42,20,16,0.3,0.01,0.045491866767406464,0.3617858447142068,0.13088899743557214,0.28826775923371317,-0.5746044804279355,-21.870494501513296,-0.05714285714285714,0.55,0.5270462766947299,0.38414308985477985,0.0
2011-01-03,2011,2010,1,42,20,16,0.1,0.01,0.0472487173974514,0.3452601127582837,0.11920454546186281,0.2852163371443749,-0.4340396446539887,-40.31630429689998,-0.34285714285714286,0.3,0.22821773229381923,0.649576190614612,0.0
2011-04-01,2011,2010,1,42,20,16,0.1,0.01,0.0469512939453125,0.3380375918781271,0.11426941352276321,0.2756140244007111,-0.3746696363640687,-48.593534284951865,-0.24060150375939846,0.35,0.34815531191139565,0.5654915996405849,0.0
2011-07-01,2011,2010,1,42,20,16,0.3,0.01,0.04528915509581566,0.30537685219410254,0.09325502185597874,0.28020413517951964,-0.12186492458320286,-14.014067211447447,0.0888555224537905,0.45,0.6236095644623235,0.7491573225609784,0.0
2011-10-03,2011,2010,1,42,20,16,0.1,0.01,0.047861337661743164,0.3034244498120902,0.09206639674376967,0.24804767012596124,-0.10756567511301851,-7.944193369025216,0.0,0.6,0.0,0.6103717211135742,0.0
2012-01-03,2012,2011,1,42,19,16,0.3,0.01,0.045989375561475754,0.318279006811888,0.10130152617716182,0.2643223764823745,-0.21899503166518053,-7.404399953791005,-0.07894736842105264,0.7368421052631579,0.7071067811865476,0.6939207356858208,0.0
2012-04-02,2012,2011,1,42,20,16,0.3,0.01,0.04577770084142685,0.31497258308503306,0.09920772809525805,0.27478155285120015,-0.19347642821363054,-34.477060991857314,-0.21052631578947367,0.45,0.44946657497549475,0.6246598893070462,0.0
2012-07-02,2012,2011,1,42,20,16,0.1,0.01,0.04749833047389984,0.3254593186564098,0.10592376810029451,0.26659299045801166,-0.27427089443963326,-22.040842212701094,-0.024060150375939848,0.55,0.44280744277004763,0.6249267797727273,0.0
2012-10-01,2012,2011,1,42,20,16,0.3,0.01,0.04482322931289673,0.3526770385408751,0.12438109351396191,0.2994329077005386,-0.4963139069348803,-94.54792237206519,-0.2541353383458646,0.25,0.0,0.8068214996307416,0.0
2013-01-02,2013,2012,1,42,20,16,0.3,0.01,0.04488159716129303,0.29528756120970795,0.08719474380517701,0.24271659672260287,-0.04895932397205427,-22.61923497762493,0.04588191373736881,0.6,0.0,0.5618531327526471,0.0
2013-04-01,2013,2012,1,42,20,16,0.3,0.01,0.046274375170469284,0.31676980674839555,0.10034311046741587,0.2653885588049889,-0.2071351635177845,-42.44658255147638,-0.03157894736842105,0.45,0.4472135954999579,0.5466972538041546,0.0
2013-07-01,2013,2012,1,42,20,16,0.3,0.01,0.046161867678165436,0.3315886334497192,0.1099510218330522,0.29033522754907615,-0.32271905964574077,-90.1706908449055,-0.24812030075187969,0.45,0.4494665749754947,0.3375814241701519,0.0
