rebalance_date,invest_year,select_year,n_stocks,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,RMSE,MSE,MAE,R2_rank,R2_raw_vs_zero,Spearman,Directional_Accuracy,Geometric_Score,turnover,tc_drag_bps
2017-10-02,2017,2016,20,25.600000,0.200000,38.400000,0.010000,0.033265,0.296321,0.087922,0.247890,-0.057713,-8.677604,0.183759,0.210000,,0.528127,0.000000
2018-01-02,2018,2017,20,22.400000,0.200000,38.400000,0.010000,0.037144,0.329122,0.108806,0.276091,-0.308949,-23.427165,-0.216905,0.570000,0.135524,0.650653,0.000000
2018-04-02,2018,2017,20,25.600000,0.220000,32.000000,0.010000,0.036299,0.326646,0.107518,0.270224,-0.293450,-7.595267,-0.040602,0.320000,0.000000,0.604466,0.000000
2018-07-02,2018,2017,20,25.600000,0.260000,32.000000,0.010000,0.034186,0.303482,0.092204,0.263385,-0.109219,-11.611616,0.089023,0.500000,0.438580,0.346609,0.000000
2018-10-01,2018,2017,20,25.600000,0.220000,32.000000,0.010000,0.034526,0.320657,0.103342,0.271942,-0.243216,-14.383742,-0.160602,0.720000,0.584504,0.552354,0.000000
2019-01-02,2019,2018,20,28.800000,0.200000,38.400000,0.010000,0.034349,0.312380,0.098057,0.263364,-0.179633,-8.462450,-0.124511,0.300000,0.094281,0.728763,0.000000
2019-04-01,2019,2018,20,25.600000,0.200000,38.400000,0.010000,0.037501,0.313738,0.098519,0.264943,-0.185194,-21.671587,0.187970,0.310000,0.053452,0.562629,0.000000
2019-07-01,2019,2018,20,28.800000,0.200000,38.400000,0.010000,0.036683,0.320587,0.102844,0.271996,-0.237217,-22.507160,0.094436,0.510000,0.176383,0.509547,0.000000
2019-10-01,2019,2018,20,16.000000,0.200000,32.000000,0.010000,0.035155,0.323154,0.105036,0.270270,-0.263593,-2.945007,-0.095779,0.140000,,0.582520,0.000000
2020-01-02,2020,2019,20,25.600000,0.200000,32.000000,0.010000,0.036650,0.357978,0.130343,0.297366,-0.568032,-4.885261,0.016241,0.950000,0.000000,0.808874,0.000000
2020-04-01,2020,2019,20,22.400000,0.240000,32.000000,0.010000,0.035944,0.295013,0.087661,0.249667,-0.054573,-0.124962,0.349474,0.380000,,0.784519,0.000000
2020-07-01,2020,2019,20,32.000000,0.200000,32.000000,0.010000,0.035404,0.367264,0.135311,0.300102,-0.627807,-4.154056,-0.203308,0.100000,0.047140,0.625190,0.000000
2020-10-01,2020,2019,20,22.400000,0.200000,38.400000,0.010000,0.038092,0.276242,0.076675,0.235192,0.077599,-3.782166,0.466165,0.350000,0.341911,0.512944,0.000000
2021-01-04,2021,2020,20,19.200000,0.200000,38.400000,0.010000,0.030819,0.301053,0.090835,0.256963,-0.092747,-11.522368,0.179696,0.490000,0.443623,0.720215,0.000000
2021-04-01,2021,2020,20,22.400000,0.200000,32.000000,0.010000,0.030994,0.304937,0.093393,0.266087,-0.123520,-8.114005,0.054501,0.410000,0.304566,0.593884,0.000000
2021-07-01,2021,2020,20,25.600000,0.200000,38.400000,0.010000,0.029232,0.315976,0.100007,0.266752,-0.203086,-53.944266,0.160602,0.550000,0.392746,0.599201,0.000000
2021-10-01,2021,2020,20,19.200000,0.220000,32.000000,0.010000,0.036178,0.311051,0.097218,0.258931,-0.169535,-3.559157,0.034586,0.400000,0.365649,0.517162,0.000000
2022-01-03,2022,2021,20,25.600000,0.240000,38.400000,0.010000,0.036933,0.322238,0.104291,0.280272,-0.254629,-18.552004,-0.354887,0.520000,0.246566,0.739099,0.000000
2022-04-01,2022,2021,20,25.600000,0.200000,32.000000,0.010000,0.035320,0.344822,0.119085,0.285515,-0.432598,-6.302086,-0.027669,0.720000,0.305368,0.480756,0.000000
2022-07-01,2022,2021,20,19.200000,0.280000,32.000000,0.010000,0.035669,0.311988,0.097396,0.262196,-0.171685,-23.333200,0.016241,0.840000,0.153393,0.527372,0.000000
2022-10-03,2022,2021,20,28.800000,0.220000,32.000000,0.010000,0.037106,0.314074,0.100072,0.256234,-0.203871,-4.053209,0.221654,0.500000,0.338157,0.478757,0.000000
2023-01-03,2023,2022,20,25.600000,0.220000,38.400000,0.010000,0.039291,0.330478,0.110161,0.280449,-0.325249,-0.376592,-0.217345,0.430000,0.126485,0.634128,0.000000
2023-04-03,2023,2022,20,22.400000,0.220000,32.000000,0.010000,0.035878,0.338627,0.116419,0.279838,-0.400531,-1.276446,-0.215338,0.270000,0.132288,0.593880,0.000000
2023-07-03,2023,2022,20,22.400000,0.220000,44.800000,0.010000,0.038606,0.308759,0.095603,0.262611,-0.150116,-34.573686,0.107068,0.530000,0.204853,0.555993,0.000000
2023-10-02,2023,2022,20,22.400000,0.260000,44.800000,0.010000,0.035899,0.311926,0.097446,0.264075,-0.172288,-11.798795,0.061278,0.330000,0.078848,0.542163,0.000000
2024-01-02,2024,2023,20,25.600000,0.220000,38.400000,0.010000,0.036190,0.329043,0.109099,0.278203,-0.312468,-0.467975,0.057744,0.210000,0.093301,0.701265,0.000000
2024-04-01,2024,2023,20,22.400000,0.200000,32.000000,0.010000,0.033715,0.283625,0.080737,0.241607,0.028724,-7.343983,0.371429,0.450000,0.429251,0.564893,0.000000
2024-07-01,2024,2023,20,19.200000,0.200000,38.400000,0.010000,0.036550,0.323617,0.104967,0.281408,-0.262757,-9.670793,-0.319699,0.280000,0.288183,0.404450,0.000000
2024-10-01,2024,2023,20,22.400000,0.220000,38.400000,0.010000,0.035213,0.309696,0.096438,0.259646,-0.160161,-3.290537,0.061654,0.400000,0.198787,0.521344,0.000000
2025-01-02,2025,2024,20,22.400000,0.200000,38.400000,0.010000,0.038281,0.329395,0.109266,0.273193,-0.314484,-9.539835,0.047368,0.530000,0.000000,0.609220,0.000000
2025-04-01,2025,2024,20,25.600000,0.220000,44.800000,0.010000,0.037176,0.306963,0.095145,0.256652,-0.144596,-1.264505,0.044737,0.320000,0.092582,0.574088,0.000000
2025-07-01,2025,2024,20,28.800000,0.200000,32.000000,0.010000,0.036533,0.340357,0.116079,0.289731,-0.396444,-3.194254,-0.356692,0.300000,0.226011,0.558604,0.000000
2025-10-01,2025,2024,20,25.600000,0.200000,32.000000,0.010000,0.037828,0.363519,0.133198,0.305258,-0.602377,-7.544413,-0.407611,0.370000,0.045644,0.582378,0.000000
