rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_nodes,best_dropout,best_batch,best_lr,best_val_loss,run_number,seed
2005-08-01,2005,2004,PG,0.010055199265480042,0.0,0.0,32,0.2,32,0.01,0.038474,3,44
2005-09-01,2005,2004,CVX,0.09904742240905762,0.774051,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,XOM,0.09190424531698227,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,MSFT,0.091473788022995,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,HD,0.08859588950872421,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,KO,0.07828458398580551,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,PG,0.06559954583644867,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,INTC,0.061015184968709946,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,CSCO,0.056742992252111435,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,WFC,0.05390727519989014,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,AIG,0.04720379412174225,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,JNJ,0.0445978157222271,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,PFE,0.038108885288238525,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,WMT,0.036746781319379807,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,IBM,0.036228351294994354,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,JPM,0.029525354504585266,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,UPS,0.021885335445404053,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,BAC,0.019912170246243477,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,C,0.019224345684051514,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,VZ,0.009998132474720478,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-09-01,2005,2004,GE,0.009998132474720478,0.0,0.0,32,0.3,32,0.01,0.043116,3,44
2005-10-03,2005,2004,CSCO,0.10000570118427277,0.691765,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,PG,0.10000570118427277,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,INTC,0.10000570118427277,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,GE,0.08958752453327179,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,C,0.08355958759784698,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,PFE,0.062200721353292465,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,JNJ,0.05390513315796852,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,KO,0.0501636303961277,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,XOM,0.046151597052812576,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,UPS,0.04029161110520363,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,CVX,0.03936772048473358,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,BAC,0.037345923483371735,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,WMT,0.0338420495390892,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,IBM,0.031751323491334915,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,JPM,0.031668711453676224,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,HD,0.029948515817523003,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,VZ,0.025342972949147224,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,WFC,0.02213684841990471,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,AIG,0.01238447055220604,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-10-03,2005,2004,MSFT,0.010334555059671402,0.0,0.0,16,0.3,32,0.01,0.044131,3,44
2005-11-01,2005,2004,JNJ,0.07789929211139679,0.576847,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,HD,0.07566343247890472,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,CVX,0.07342928647994995,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,XOM,0.07069210708141327,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,GE,0.06973452866077423,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,BAC,0.06421230733394623,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,WFC,0.0595206543803215,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,CSCO,0.05757245421409607,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,PG,0.05700911954045296,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,MSFT,0.05660157650709152,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,KO,0.056419529020786285,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,UPS,0.04908137768507004,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,AIG,0.042214423418045044,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,C,0.04043208435177803,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,INTC,0.04037601128220558,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,IBM,0.03865554928779602,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,JPM,0.03643863648176193,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,WMT,0.014052249491214752,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,VZ,0.009997724555432796,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
2005-11-01,2005,2004,PFE,0.009997724555432796,0.0,0.0,32,0.2,64,0.01,0.043464,3,44
