rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_n_estimators,best_reg_lambda,best_subsample,best_colsample,val_R2_selected
2005-01-03,2005,2004,VZ,0.012437778525054455,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,CVX,0.012437778525054455,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2005-01-03,2005,2004,HD,0.009993227198719978,0.0,0.0,0.3,1,200,3,1.0,1.0,-0.050995
2006-01-03,2006,2005,GE,0.10000105202198029,0.567231,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,C,0.07062356919050217,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,WFC,0.07062356919050217,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,BAC,0.07062356919050217,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,KO,0.07062356919050217,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,JPM,0.06737496703863144,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,PEP,0.06737496703863144,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,PG,0.05420384556055069,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,CVX,0.04795203357934952,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,PFE,0.04795203357934952,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,CSCO,0.04777717962861061,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,XOM,0.04777717962861061,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,AIG,0.04582458734512329,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,JNJ,0.04417182877659798,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,IBM,0.027926944196224213,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,WMT,0.027926944196224213,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,MSFT,0.027752045542001724,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,HD,0.027752045542001724,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,AMGN,0.02562185376882553,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2006-01-03,2006,2005,INTC,0.010116216726601124,0.0,0.0,0.3,2,100,5,1.0,1.0,0.016654
2007-01-03,2007,2006,INTC,0.1000073254108429,0.787753,0.0,0.05,2,200,5,1.0,1.0,-0.000609
2007-01-03,2007,2006,WMT,0.1000073254108429,0.0,0.0,0.05,2,200,5,1.0,1.0,-0.000609
2007-01-03,2007,2006,PFE,0.1000073254108429,0.0,0.0,0.05,2,200,5,1.0,1.0,-0.000609
2007-01-03,2007,2006,BAC,0.1000073254108429,0.0,0.0,0.05,2,200,5,1.0,1.0,-0.000609
2007-01-03,2007,2006,KO,0.1000073254108429,0.0,0.0,0.05,2,200,5,1.0,1.0,-0.000609
2007-01-03,2007,2006,JNJ,0.1000073254108429,0.0,0.0,0.05,2,200,5,1.0,1.0,-0.000609
