rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_learning_rate,best_max_depth,best_min_child_weight,best_gamma,best_n_estimators,best_subsample,best_colsample,val_R2_selected
1998-12-01,1998,1997,MSFT,0.039483051747083664,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,PEP,0.039483051747083664,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,CSCO,0.039483051747083664,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,INTC,0.039483051747083664,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,MRK,0.035417161881923676,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,BMY,0.035417161881923676,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,IBM,0.035417161881923676,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,DIS,0.009996103122830391,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1998-12-01,1998,1997,C,0.009996103122830391,0.0,0.0,0.05,2,1,0.001,100,1.0,1.0,-0.110678
1999-01-04,1999,1998,KO,0.10000614076852798,0.67023,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,C,0.10000614076852798,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,BAC,0.10000614076852798,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,PG,0.10000614076852798,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,XOM,0.08634903281927109,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,JNJ,0.05657793581485748,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,BMY,0.05657793581485748,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,GE,0.05657793581485748,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,AIG,0.05657793581485748,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,MRK,0.05657793581485748,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,PFE,0.04485209658741951,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,WMT,0.02693812921643257,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,T,0.02693812921643257,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,IBM,0.02693812921643257,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,LLY,0.02693812921643257,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,CSCO,0.018213395029306412,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,HD,0.018213395029306412,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,MSFT,0.01390179991722107,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,INTC,0.01390179991722107,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-01-04,1999,1998,VZ,0.01390179991722107,0.0,0.0,0.005,1,10,0.001,100,1.0,1.0,-0.055261
1999-02-01,1999,1998,C,0.10000813007354736,0.367088,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.178224
1999-02-01,1999,1998,BAC,0.10000813007354736,0.0,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.178224
1999-02-01,1999,1998,KO,0.10000813007354736,0.0,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.178224
1999-02-01,1999,1998,MSFT,0.04117504507303238,0.0,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.178224
1999-02-01,1999,1998,WMT,0.04117504507303238,0.0,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.178224
1999-02-01,1999,1998,INTC,0.04117504507303238,0.0,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.178224
1999-02-01,1999,1998,GE,0.04117504507303238,0.0,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.178224
1999-02-01,1999,1998,XOM,0.04117504507303238,0.0,0.0,0.005,1,1,0.001,100,1.0,1.0,-0.178224
