rebalance_date,ticker,assigned_weight,updated_mktcap_bn,turnover_at_rebalance
2012-01-03,VZ,0.030485628165521025,113.58,0.0
2012-01-03,GE,0.030367529236195182,113.14,0.0
2013-01-02,AAPL,0.1221319749806293,499.67,0.08454740676828222
2013-01-02,XOM,0.0952403067048296,389.65,0.0
2013-01-02,GOOGL,0.05706841218899939,233.48,0.0
2013-01-02,WMT,0.05581206629791041,228.34,0.0
2013-01-02,MSFT,0.05467060028402216,223.67,0.0
2013-01-02,BRK-B,0.05402287331682648,221.02,0.0
2013-01-02,CVX,0.05146374073322693,210.55,0.0
2013-01-02,IBM,0.04995319256067246,204.37,0.0
2013-01-02,JNJ,0.04759937720441041,194.74,0.0
2013-01-02,PG,0.04533599919828511,185.48,0.0
2013-01-02,WFC,0.04399410446247217,179.99,0.0
2013-01-02,PFE,0.04226846205175461,172.93,0.0
2013-01-02,JPM,0.04088257076722648,167.26,0.0
2013-01-02,KO,0.039596893843660705,162.0,0.0
2013-01-02,ORCL,0.03855564219073482,157.74,0.0
2013-01-02,T,0.03481593554994464,142.44,0.0
2013-01-02,PM,0.03381379194032113,138.34,0.0
2013-01-02,GE,0.03194393861992604,130.69,0.0
2013-01-02,BAC,0.030592266873287494,125.16,0.0
2013-01-02,VZ,0.030237850230859665,123.71,0.0
2014-01-02,AAPL,0.1023237469320859,500.71,0.1560646228406982
2014-01-02,XOM,0.08965155035670565,438.7,0.0
2014-01-02,GOOGL,0.07691191587018405,376.36,0.0
2014-01-02,MSFT,0.0634529436648213,310.5,0.0
2014-01-02,BRK-B,0.059747945698176506,292.37,0.0
2014-01-02,JNJ,0.05280184085061684,258.38,0.0
2014-01-02,WMT,0.05203141380515347,254.61,0.0
2014-01-02,CVX,0.04885774483537996,239.08,0.0
2014-01-02,WFC,0.04877395833971948,238.67,0.0
2014-01-02,PG,0.04510165754211292,220.7,0.0
2014-01-02,JPM,0.044887082370299515,219.65,0.0
2014-01-02,IBM,0.03858879018430985,188.83,0.0
2014-01-02,PFE,0.03795936968032385,185.75,0.0
2014-01-02,AMZN,0.03740556137973878,183.04,0.0
2014-01-02,KO,0.03716237618501692,181.85,0.0
2014-01-02,ORCL,0.035161718154490026,172.06,0.0
2014-01-02,GE,0.034487339043076465,168.76,0.0
2014-01-02,BAC,0.0336964762669642,164.89,0.0
2014-01-02,C,0.03225575725621705,157.84,0.0
2014-01-02,VZ,0.02874081158460698,140.64,0.0
2015-01-02,AAPL,0.1202715664808731,643.24,0.23067995688466844
